Date,Alaska,Colorado,Arkansas,Arizona,Guam,Iowa
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,1,0,0
2020-01-27,0,0,0,1,0,0
2020-01-28,0,0,0,1,0,0
2020-01-29,0,0,0,1,0,0
2020-01-30,0,0,0,1,0,0
2020-01-31,0,0,0,1,0,0
2020-02-01,0,0,0,1,0,0
2020-02-02,0,0,0,1,0,0
2020-02-03,0,0,0,1,0,0
2020-02-04,0,0,0,1,0,0
2020-02-05,0,0,0,1,0,0
2020-02-06,0,0,0,1,0,0
2020-02-07,0,0,0,1,0,0
2020-02-08,0,0,0,1,0,0
2020-02-09,0,0,0,1,0,0
2020-02-10,0,0,0,1,0,0
2020-02-11,0,0,0,1,0,0
2020-02-12,0,0,0,1,0,0
2020-02-13,0,0,0,1,0,0
2020-02-14,0,0,0,1,0,0
2020-02-15,0,0,0,1,0,0
2020-02-16,0,0,0,1,0,0
2020-02-17,0,0,0,1,0,0
2020-02-18,0,0,0,1,0,0
2020-02-19,0,0,0,1,0,0
2020-02-20,0,0,0,1,0,0
2020-02-21,0,0,0,1,0,0
2020-02-22,0,0,0,1,0,0
2020-02-23,0,0,0,1,0,0
2020-02-24,0,0,0,1,0,0
2020-02-25,0,0,0,1,0,0
2020-02-26,0,0,0,1,0,0
2020-02-27,0,0,0,1,0,0
2020-02-28,0,0,0,1,0,0
2020-02-29,0,0,0,1,0,0
2020-03-01,0,0,0,1,0,0
2020-03-02,0,0,0,1,0,0
2020-03-03,0,0,0,1,0,0
2020-03-04,0,0,0,1,0,0
2020-03-05,0,2,0,1,0,0
2020-03-06,0,8,0,2,0,0
2020-03-07,0,8,0,4,0,0
2020-03-08,0,8,0,4,0,0
2020-03-09,0,12,0,4,0,3
2020-03-10,0,17,0,6,0,8
2020-03-11,0,34,0,9,0,13
2020-03-12,0,49,0,9,0,14
2020-03-13,1,78,9,9,0,17
2020-03-14,1,103,12,12,0,17
2020-03-15,1,136,3,12,0,18
2020-03-16,1,161,3,18,3,23
2020-03-17,4,183,3,20,3,23
2020-03-18,9,216,4,27,5,38
2020-03-19,12,278,62,45,12,44
2020-03-20,15,364,100,68,14,45
2020-03-21,16,475,122,104,15,69
2020-03-22,26,595,165,152,27,90
2020-03-23,39,723,192,235,29,105
2020-03-24,43,912,219,326,32,124
2020-03-25,50,1087,280,401,37,146
2020-03-26,64,1430,335,508,45,179
2020-03-27,75,1738,381,665,51,235
2020-03-28,92,2061,409,773,55,298
2020-03-29,111,2308,426,919,56,336
2020-03-30,119,2627,473,1157,58,424
2020-03-31,129,2966,523,1289,69,497
2020-04-01,142,3342,584,1413,77,547
2020-04-02,150,3728,643,1596,82,614
2020-04-03,161,4173,704,1769,84,699
2020-04-04,172,4565,743,2019,93,787
2020-04-05,187,4950,837,2269,112,869
2020-04-06,193,5183,875,2460,113,946
2020-04-07,215,5429,946,2575,121,1046
2020-04-08,228,5655,1000,2726,121,1145
2020-04-09,238,6202,1119,3018,128,1270
2020-04-10,249,6513,1171,3112,130,1388
2020-04-11,261,6893,1228,3393,133,1510
2020-04-12,276,7307,1280,3542,133,1587
2020-04-13,281,7696,1410,3705,133,1710
2020-04-14,289,7950,1498,3809,133,1899
2020-04-15,297,8280,1569,3964,135,1995
2020-04-16,305,8675,1620,4237,135,2141
2020-04-17,314,9047,1695,4511,136,2332
2020-04-18,319,9440,1744,4724,136,2513
2020-04-19,324,9730,1781,4933,136,2902
2020-04-20,326,10112,1973,5068,136,3159
2020-04-21,334,10473,1990,5256,136,3641
2020-04-22,340,10891,2276,5473,136,3748
2020-04-23,342,11278,2599,5772,139,3924
2020-04-24,344,12256,2810,6045,141,4445
2020-04-25,344,12968,2911,6286,141,5092
2020-04-26,346,13441,3001,6534,141,5476
2020-04-27,350,13879,3069,6725,141,5868
2020-04-28,356,14316,3127,6955,141,6376
2020-04-29,360,14758,3193,7209,141,6843
2020-04-30,360,15284,3281,7655,145,7145
2020-05-01,369,15793,3337,7969,145,7884
2020-05-02,370,16225,3372,8364,145,8643
2020-05-03,373,16635,3437,8640,145,9175
2020-05-04,375,16918,3491,8924,145,9703
2020-05-05,376,17367,3525,9305,145,10111
2020-05-06,377,17832,3611,9707,149,10404
2020-05-07,380,18370,3703,9945,149,11059
2020-05-08,383,18827,3747,10526,151,11457
2020-05-09,385,19375,3747,10960,151,11671
2020-05-10,386,19703,4012,11119,151,11959
2020-05-11,388,19879,4043,11383,151,12373
2020-05-12,390,20157,4164,11736,152,12912
2020-05-13,391,20475,4236,12216,152,13289
2020-05-14,396,20838,4366,12674,152,13675
2020-05-15,398,21232,4463,13169,154,14049
2020-05-16,403,21633,4578,13666,154,14328
2020-05-17,408,21938,4759,13945,154,14651
2020-05-18,411,22202,4813,14208,154,14955
2020-05-19,411,22482,4923,14576,154,15296
2020-05-20,416,22797,5003,14906,154,15620
2020-05-21,416,23191,5458,15348,165,16170
2020-05-22,418,23487,5612,15624,165,16492
2020-05-23,423,23964,5775,16053,165,16898
2020-05-24,423,24174,5922,16377,166,17251
2020-05-25,426,24269,6029,16575,166,17557
2020-05-26,430,24565,6180,16864,167,17703
2020-05-27,431,24767,6277,17318,170,18369
2020-05-28,444,25121,6538,17877,171,18586
2020-05-29,450,25612,6777,18472,172,18957
2020-05-30,455,26098,7013,19258,172,19244
2020-05-31,484,26378,7253,19936,172,19552
2020-06-01,491,26577,7443,20129,175,19699
2020-06-02,512,26788,7818,21264,175,20019
2020-06-03,531,27060,8067,22356,177,20300
2020-06-04,559,27360,8425,22886,179,20806
2020-06-05,572,27615,8651,24439,179,21154
2020-06-06,586,27848,9101,25451,179,21478
2020-06-07,595,28001,9426,26989,179,21712
2020-06-08,614,28183,9740,27678,179,22007
2020-06-09,627,28347,10080,28296,180,22237
2020-06-10,649,28499,10368,29852,180,22626
2020-06-11,676,28647,10816,31267,183,22973
2020-06-12,697,28822,11547,33039,183,23350
2020-06-13,731,29017,12095,34660,183,23717
2020-06-14,743,29130,12501,35706,183,23926
2020-06-15,747,29299,12917,36844,185,24082
2020-06-16,761,29442,13191,39185,186,24179
2020-06-17,786,29671,13606,40937,188,24460
2020-06-18,805,29901,13928,43445,192,24861
2020-06-19,833,30187,14631,46910,200,25274
2020-06-20,856,30348,15142,50127,222,25496
2020-06-21,870,30539,15561,52591,222,25963
2020-06-22,881,30705,16083,54599,222,26146
2020-06-23,915,30893,16678,58378,225,26469
2020-06-24,938,31155,17375,60190,226,26601
2020-06-25,982,31479,18062,63281,231,27373
2020-06-26,1011,31796,18740,66659,247,27717
2020-06-27,1038,32022,19310,70124,247,28073
2020-06-28,1070,32307,19818,73920,247,28520
2020-06-29,1095,32511,20257,74545,253,28845
2020-06-30,1142,32715,20777,79228,257,29074
2020-07-01,1184,33029,21197,84105,267,29514
2020-07-02,1234,33352,22075,87445,280,30259
2020-07-03,1294,33612,22622,91872,280,30463
2020-07-04,1349,33866,23209,94567,280,31061
2020-07-05,1382,34065,23814,98103,280,31517
2020-07-06,1410,34257,24253,101455,301,31758
2020-07-07,1434,34664,24512,105094,303,32153
2020-07-08,1485,35116,25246,108614,307,32624
2020-07-09,1537,35525,26052,112671,309,33254
2020-07-10,1591,36191,26803,116892,310,34172
2020-07-11,1668,36591,27864,119930,310,34658
2020-07-12,1784,36913,28367,122467,310,35410
2020-07-13,1855,37236,28939,123824,312,35631
2020-07-14,1915,37686,29812,128097,312,35866
2020-07-15,1972,38155,30297,131354,313,36536
2020-07-16,2050,38726,31114,134613,314,37350
2020-07-17,2102,39344,31762,138523,314,37903
2020-07-18,2179,39788,32533,141265,314,38313
2020-07-19,2295,40142,33228,143624,314,38813
2020-07-20,2435,40566,33927,145183,319,39343
2020-07-21,2541,41059,34655,148683,319,39721
2020-07-22,2648,41698,35246,150609,330,40208
2020-07-23,2727,42313,36259,152944,337,40796
2020-07-24,2793,42980,37249,156301,337,41434
2020-07-25,2911,43789,37981,160041,337,41886
2020-07-26,3144,44336,38623,162014,337,42357
2020-07-27,3255,44565,39447,163827,349,42696
2020-07-28,3390,45314,40181,165934,351,42928
2020-07-29,3483,45796,40968,168273,354,43623
2020-07-30,3605,46204,41759,170798,356,44285
2020-07-31,3716,46809,42511,174010,356,44753
2020-08-01,3866,47267,43173,177002,356,45293
2020-08-02,4014,47727,43810,178467,368,45723
2020-08-03,4092,47968,44597,179497,375,45905
2020-08-04,4161,48394,45381,180505,389,46231
2020-08-05,4220,48988,46293,182203,397,46836
2020-08-06,4266,49436,47028,183656,411,47559
2020-08-07,4334,49893,48039,185053,411,48040
2020-08-08,4421,50324,48811,186107,411,48535
2020-08-09,4521,50660,49383,186923,418,48919
2020-08-10,4590,51038,50028,187523,418,49165
2020-08-11,4645,51441,50411,188737,449,49521
2020-08-12,4712,51756,51096,189443,449,49973
2020-08-13,4813,52219,51766,190794,477,50373
2020-08-14,4918,52538,52392,191721,502,51247
2020-08-15,5003,52838,51992,192654,502,52065
2020-08-16,5107,53176,52665,193537,502,52447
2020-08-17,5157,53370,53077,194005,577,52829
2020-08-18,5228,53631,53487,194920,599,53201
2020-08-19,5305,53901,54216,195557,599,53523
2020-08-20,5390,54230,54765,196280,704,54533
2020-08-21,5462,54230,55652,196899,767,55331
2020-08-22,5552,54883,56199,197895,767,55996
2020-08-23,5619,55143,56574,198103,767,56446
2020-08-24,5691,55341,56894,198414,907,56909
2020-08-25,5727,55800,57374,199273,984,57606
2020-08-26,5781,55993,58023,199459,1120,58807
2020-08-27,5870,56343,58745,200139,1232,61488
2020-08-28,5989,56773,59583,200658,1287,62828
2020-08-29,6086,57040,60378,201287,1287,63612
2020-08-30,6135,57223,60856,201661,1287,64599
2020-08-31,6173,57424,61224,201835,1395,65139
2020-09-01,6209,57775,61497,202342,1447,65847
2020-09-02,6276,58019,62112,202861,1494,66463
2020-09-03,6366,58287,63081,203953,1560,67691
2020-09-04,6492,58287,64175,204681,1619,68744
2020-09-05,6582,58986,64690,205517,1619,69690
2020-09-06,6679,59271,65377,205767,1619,70215
2020-09-07,6714,59484,65727,205964,1619,70537
2020-09-08,6748,59671,66021,206045,1713,71019
2020-09-09,6813,59911,66406,206541,1758,71595
2020-09-10,6928,60175,66804,207002,1846,72458
2020-09-11,7025,60482,67911,207523,1863,73399
2020-09-12,7129,60896,69710,208128,1863,74205
2020-09-13,7191,61313,70219,208512,1863,74676
2020-09-14,7268,61687,70627,208725,1927,75064
2020-09-15,7312,62099,71497,209209,1966,75721
2020-09-16,7364,62686,72219,209907,2013,76652
2020-09-17,7476,63145,73211,211660,2045,77204
2020-09-18,7587,63750,74082,212942,2074,78839
2020-09-19,7683,64356,75160,213551,2074,79804
2020-09-20,7791,64857,75723,214021,2074,80410
2020-09-21,7862,65399,76364,214251,2147,81007
2020-09-22,7922,66053,76981,214846,2190,81618
2020-09-23,7999,66669,77963,215284,2235,82871
2020-09-24,8142,67217,79049,215852,2263,83991
2020-09-25,8269,67926,79946,216367,2286,85031
2020-09-26,8388,68510,80755,216826,2286,85908
2020-09-27,8500,69079,81242,217237,2286,86624
2020-09-28,8617,69490,82049,217510,2286,87257
2020-09-29,8739,70025,82755,218184,2443,88235
2020-09-30,8845,70536,83697,218507,2488,89247
2020-10-01,8985,71218,84821,219212,2488,90428
2020-10-02,9129,71898,85779,219763,2488,91482
2020-10-03,9270,72555,86525,220399,2617,92301
2020-10-04,9413,73076,87013,220754,2617,92744
2020-10-05,9612,73537,87430,221070,2753,93260
2020-10-06,9763,74191,88071,221934,2818,93805
